x                   v                   t
0.0729347          -0.0278011                4.18
0.0726572           -0.027696                4.19
0.0723808          -0.0275912                 4.2
0.0721054          -0.0274869                4.21
0.0718311          -0.0273829                4.22
0.0715578          -0.0272793                4.23
0.0712855          -0.0271761                4.24
0.0710142          -0.0270732                4.25
0.070744          -0.0269707                4.26
0.0704748          -0.0268687                4.27
0.0702066           -0.026767                4.28
0.0699395          -0.0266656                4.29
0.0696733          -0.0265647                 4.3
0.0694082          -0.0264641                4.31
0.0691441          -0.0263639                4.32
0.0688809           -0.026264                4.33
0.0686188          -0.0261646                4.34
0.0683576          -0.0260655                4.35
0.0680975          -0.0259667                4.36
0.0678383          -0.0258684                4.37
0.0675801          -0.0257703                4.38
0.0673229          -0.0256727                4.39
0.0670666          -0.0255754                 4.4
0.0668114          -0.0254785                4.41
0.0665571          -0.0253819                4.42
0.0663037          -0.0252857                4.43
0.0660513          -0.0251899                4.44
0.0657999          -0.0250944                4.45
0.0655495          -0.0249993                4.46
0.0652999          -0.0249045                4.47
0.0650514          -0.0248101                4.48
0.0648037           -0.024716                4.49
0.064557          -0.0246223                 4.5
0.0643113          -0.0245289                4.51
0.0640665          -0.0244359                4.52
0.0638226          -0.0243432                4.53
0.0635796          -0.0242509                4.54
0.0633376          -0.0241589                4.55
0.0630964          -0.0240673                4.56
0.0628562           -0.023976                4.57
0.0626169           -0.023885                4.58
0.0623785          -0.0237944                4.59
0.062141          -0.0237041                 4.6
0.0619044          -0.0236142                4.61
0.0616687          -0.0235245                4.62
0.0614339          -0.0234353                4.63
0.0612          -0.0233463                4.64
0.060967          -0.0232577                4.65
0.0607349          -0.0231695                4.66
0.0605036          -0.0230815                4.67
0.0602732          -0.0229939                4.68
0.0600437          -0.0229066                4.69
0.0598151          -0.0228197                 4.7
0.0595873           -0.022733                4.71
0.0593604          -0.0226467                4.72
0.0591344          -0.0225607                4.73
0.0589092          -0.0224751                4.74
0.0586849          -0.0223897                4.75
0.0584614          -0.0223047                4.76
0.0582388            -0.02222                4.77
0.058017          -0.0221356                4.78
0.0577961          -0.0220516                4.79
0.057576          -0.0219678                 4.8
0.0573567          -0.0218844                4.81
0.0571383          -0.0218013                4.82
0.0569207          -0.0217184                4.83
0.0567039          -0.0216359                4.84
0.056488          -0.0215538                4.85
0.0562729          -0.0214719                4.86
0.0560585          -0.0213903                4.87
0.0558451           -0.021309                4.88
0.0556324          -0.0212281                4.89
0.0554205          -0.0211474                 4.9
0.0552094          -0.0210671                4.91
0.0549991           -0.020987                4.92
0.0547897          -0.0209073                4.93
0.054581          -0.0208278                4.94
0.0543731          -0.0207487                4.95
0.054166          -0.0206698                4.96
0.0539597          -0.0205913                4.97
0.0537542           -0.020513                4.98
0.0535495          -0.0204351                4.99
0.0533455          -0.0203574                   5
0.0531423            -0.02028                5.01
0.0529399           -0.020203                5.02
0.0527382          -0.0201262                5.03
0.0525374          -0.0200497                5.04
0.0523373          -0.0199734                5.05
0.0521379          -0.0198975                5.06
0.0519393          -0.0198219                5.07
0.0517415          -0.0197465                5.08
0.0515444          -0.0196715                5.09
0.051348          -0.0195967                 5.1
0.0511524          -0.0195222                5.11
0.0509576          -0.0194479                5.12
0.0507635           -0.019374                5.13
0.0505701          -0.0193003                5.14
0.0503775          -0.0192269                5.15
0.0501856          -0.0191538                5.16
0.0499944           -0.019081                5.17
0.0498039          -0.0190085                5.18
0.0496142          -0.0189362                5.19
0.0494252          -0.0188642                 5.2
0.0492369          -0.0187924                5.21
0.0490494           -0.018721                5.22
0.0488625          -0.0186498                5.23
0.0486764          -0.0185788                5.24
0.0484909          -0.0185082                5.25
0.0483062          -0.0184378                5.26
0.0481222          -0.0183677                5.27
0.0479389          -0.0182978                5.28
0.0477562          -0.0182282                5.29
0.0475743          -0.0181589                 5.3
0.0473931          -0.0180898                5.31
0.0472125           -0.018021                5.32
0.0470326          -0.0179524                5.33
0.0468534          -0.0178841                5.34
0.0466749          -0.0178161                5.35
0.0464971          -0.0177483                5.36
0.04632          -0.0176808                5.37
0.0461435          -0.0176136                5.38
0.0459677          -0.0175465                5.39
0.0457926          -0.0174798                 5.4
0.0456181          -0.0174133                5.41
0.0454443           -0.017347                5.42
0.0452712           -0.017281                5.43
0.0450987          -0.0172153                5.44
0.0449269          -0.0171498                5.45
0.0447557          -0.0170845                5.46
0.0445852          -0.0170195                5.47
0.0444153          -0.0169548                5.48
0.0442461          -0.0168903                5.49
0.0440775           -0.016826                 5.5
0.0439096           -0.016762                5.51
0.0437423          -0.0166982                5.52
0.0435756          -0.0166346                5.53
0.0434096          -0.0165713                5.54
0.0432442          -0.0165083                5.55
0.0430794          -0.0164455                5.56
0.0429153          -0.0163829                5.57
0.0427517          -0.0163205                5.58
0.0425888          -0.0162584                5.59
0.0424266          -0.0161965                 5.6
0.0422649          -0.0161349                5.61
0.0421039          -0.0160735                5.62
0.0419434          -0.0160123                5.63
0.0417836          -0.0159514                5.64
0.0416244          -0.0158907                5.65
0.0414658          -0.0158302                5.66
0.0413078          -0.0157699                5.67
0.0411504          -0.0157099                5.68
0.0409936          -0.0156501                5.69
0.0408374          -0.0155905                 5.7
0.0406818          -0.0155312                5.71
0.0405268          -0.0154721                5.72
0.0403724          -0.0154132                5.73
0.0402185          -0.0153545                5.74
0.0400653          -0.0152961                5.75
0.0399126          -0.0152378                5.76
0.0397605          -0.0151798                5.77
0.039609          -0.0151221                5.78
0.0394581          -0.0150645                5.79
0.0393077          -0.0150071                 5.8
0.0391579            -0.01495                5.81
0.0390087          -0.0148931                5.82
0.0388601          -0.0148364                5.83
0.038712          -0.0147799                5.84
0.0385645          -0.0147237                5.85
0.0384175          -0.0146676                5.86
0.0382711          -0.0146118                5.87
0.0381253          -0.0145561                5.88
0.03798          -0.0145007                5.89
0.0378353          -0.0144455                 5.9
0.0376911          -0.0143905                5.91
0.0375474          -0.0143357                5.92
0.0374044          -0.0142811                5.93
0.0372618          -0.0142268                5.94
0.0371198          -0.0141726                5.95
0.0369784          -0.0141186                5.96
0.0368374          -0.0140649                5.97
0.0366971          -0.0140113                5.98
0.0365572           -0.013958                5.99
0.0364179          -0.0139048                   6
0.0362791          -0.0138519                6.01
0.0361409          -0.0137991                6.02
0.0360031          -0.0137466                6.03
0.0358659          -0.0136942                6.04
0.0357293          -0.0136421                6.05
0.0355931          -0.0135902                6.06
0.0354574          -0.0135384                6.07
0.0353223          -0.0134868                6.08
0.0351877          -0.0134355                6.09
0.0350536          -0.0133843                 6.1
0.03492          -0.0133334                6.11
0.0347869          -0.0132826                6.12
0.0346544           -0.013232                6.13
0.0345223          -0.0131816                6.14
0.0343907          -0.0131314                6.15
0.0342597          -0.0130814                6.16
0.0341291          -0.0130316                6.17
0.033999           -0.012982                6.18
0.0338695          -0.0129325                6.19
0.0337404          -0.0128833                 6.2
0.0336118          -0.0128342                6.21
0.0334837          -0.0127853                6.22
0.0333561          -0.0127366                6.23
0.033229          -0.0126881                6.24
0.0331023          -0.0126398                6.25
0.0329762          -0.0125917                6.26
0.0328505          -0.0125437                6.27
0.0327253          -0.0124959                6.28
0.0326006          -0.0124483                6.29
0.0324763          -0.0124009                 6.3
0.0323526          -0.0123537                6.31
0.0322293          -0.0123066                6.32
0.0321064          -0.0122598                6.33
0.0319841          -0.0122131                6.34
0.0318622          -0.0121666                6.35
0.0317407          -0.0121202                6.36
